date,open,high,low,close,volume
2024-01-01 00:00:00,16825.0,16846.76,16817.57,16839.32,6886
2024-01-01 00:15:00,16839.32,16865.69,16837.07,16863.43,7033
2024-01-01 00:30:00,16863.43,16870.85,16821.68,16829.08,9866
2024-01-01 00:45:00,16829.08,16842.88,16813.54,16827.34,3176
2024-01-01 01:00:00,16827.34,16843.77,16824.72,16841.14,5346
2024-01-01 01:15:00,16841.14,16862.97,16837.69,16859.51,6274
2024-01-01 01:30:00,16859.51,16876.1,16851.89,16868.47,8268
2024-01-01 01:45:00,16868.47,16899.25,16858.07,16888.84,6528
2024-01-01 02:00:00,16888.84,16894.8,16886.93,16892.88,6777
2024-01-01 02:15:00,16892.88,16908.12,16885.24,16900.47,7086
2024-01-01 02:30:00,16900.47,16907.82,16895.65,16903.01,5013
2024-01-01 02:45:00,16903.01,16906.63,16884.97,16888.59,6747
2024-01-01 03:00:00,16888.59,16899.36,16866.49,16877.25,5608
2024-01-01 03:15:00,16877.25,16883.2,16876.56,16882.51,7296
2024-01-01 03:30:00,16882.51,16887.63,16869.66,16874.78,7564
2024-01-01 03:45:00,16874.78,16910.79,16856.11,16892.1,4763
2024-01-01 04:00:00,16892.1,16913.4,16888.44,16909.73,7276
2024-01-01 04:15:00,16909.73,16943.78,16900.2,16934.24,4941
2024-01-01 04:30:00,16934.24,16951.74,16916.5,16934.0,8875
2024-01-01 04:45:00,16934.0,16967.8,16919.13,16952.91,3561
2024-01-01 05:00:00,16952.91,16958.54,16935.1,16940.73,5845
2024-01-01 05:15:00,16940.73,16946.23,16924.28,16929.77,3235
2024-01-01 05:30:00,16929.77,16940.57,16920.2,16931.0,4467
2024-01-01 05:45:00,16931.0,16941.11,16924.83,16934.94,6511
2024-01-01 06:00:00,16934.94,16943.43,16904.88,16913.37,8073
2024-01-01 06:15:00,16913.37,16923.6,16879.83,16890.05,3410
2024-01-01 06:30:00,16890.05,16903.66,16881.37,16894.98,3768
2024-01-01 06:45:00,16894.98,16911.2,16867.22,16883.43,7688
2024-01-01 07:00:00,16883.43,16902.29,16881.04,16899.9,5336
2024-01-01 07:15:00,16899.9,16918.83,16886.44,16905.37,7224
2024-01-01 07:30:00,16905.37,16916.1,16898.92,16909.65,8856
2024-01-01 07:45:00,16909.65,16927.1,16895.15,16912.59,4158
2024-01-01 08:00:00,16912.59,16932.44,16905.01,16924.85,8731
2024-01-01 08:15:00,16924.85,16927.4,16920.36,16922.9,7158
2024-01-01 08:30:00,16922.9,16948.69,16911.97,16937.75,4195
2024-01-01 08:45:00,16937.75,16938.53,16929.95,16930.73,8581
2024-01-01 09:00:00,16930.73,16933.7,16924.83,16927.8,6261
2024-01-01 09:15:00,16927.8,16931.59,16914.9,16918.69,3691
2024-01-01 09:30:00,16918.69,16929.06,16916.54,16926.92,5050
2024-01-01 09:45:00,16926.92,16928.69,16925.75,16927.52,5299
2024-01-01 10:00:00,16927.52,16930.0,16913.48,16915.95,3717
2024-01-01 10:15:00,16915.95,16945.55,16913.64,16943.23,6989
2024-01-01 10:30:00,16943.23,16952.03,16929.61,16938.41,3590
2024-01-01 10:45:00,16938.41,16948.32,16927.05,16936.95,8695
2024-01-01 11:00:00,16936.95,16949.32,16930.06,16942.42,8446
2024-01-01 11:15:00,16942.42,16980.03,16928.7,16966.29,4925
2024-01-01 11:30:00,16966.29,16977.48,16953.2,16964.39,3414
